"age","ageshare","femratio","msm_rate","wsw_rate"
80,0.00589692163893646,0.805868558440891,0.000692803469629876,0.0125444514420046
81,0.0056718374232352,0.811777971513595,0.000714554706258064,0.0124531329436681
82,0.00531937150210629,0.8188642514824,0.000742509070556728,0.0123453661357169
83,0.00481632132637476,0.829186666236609,0.000787379610907316,0.0121916806090021
84,0.0044131076791038,0.846474601650405,0.000876043558409401,0.0119426843762231
85,0.00503361620654108,0.851856526705755,0.00117891356028133,0.0144430057929811
86,0.00448984356131764,0.867822082792006,0.0013213126157748,0.0141772939338175
87,0.00383081199142504,0.878682034990797,0.00143959181577528,0.0140020715799986
88,0.00346671297967377,0.884089751805112,0.00150675503032408,0.0139164250291096
89,0.00312315702247946,0.889819290192276,0.00158510822664456,0.0138268172938141
90,0.00281676641553588,0.874306743060173,0.00180910111453424,0.0148095938328007
